Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Onur ps5,2023-08-12 16:25:03,00:13:44,,Terzi: Season 2: 8. Bölüm (Bölüm 8),,Apple iPad Air 5th Gen Wi-Fi iPad,00:33:41,00:33:41,TR (Turkey)
Onur ps5,2023-08-09 15:32:53,00:19:40,,Terzi: Season 2: 8. Bölüm (Bölüm 8),,Apple iPad Air 5th Gen Wi-Fi iPad,00:19:46,Not latest view,TR (Turkey)
Onur ps5,2023-08-09 14:36:26,00:35:55,,Terzi: Season 2: 7. Bölüm (Bölüm 7),,Apple iPad Air 5th Gen Wi-Fi iPad,00:35:55,00:35:55,TR (Turkey)
Onur ps5,2023-08-09 14:35:57,00:00:28,,Terzi: Season 2: 6. Bölüm (Bölüm 6),,Apple iPad Air 5th Gen Wi-Fi iPad,00:41:03,00:41:03,TR (Turkey)
Onur ps5,2023-08-09 13:33:37,00:14:20,,Terzi: Season 2: 6. Bölüm (Bölüm 6),,Apple iPad Air 5th Gen Wi-Fi iPad,00:40:35,Not latest view,TR (Turkey)
Onur ps5,2023-08-09 13:00:10,00:03:50,Autoplayed: user action: User_Interaction; ,Terzi: Season 2: 6. Bölüm (Bölüm 6),,Sony PS5,00:26:14,Not latest view,TR (Turkey)
Onur ps5,2023-08-07 17:59:33,00:22:19,Autoplayed: user action: User_Interaction; ,Terzi: Season 2: 6. Bölüm (Bölüm 6),,Sony PS5,00:22:25,Not latest view,TR (Turkey)
Onur ps5,2023-08-07 17:40:24,00:19:06,,Terzi: Season 2: 5. Bölüm (Bölüm 5),,Sony PS5,00:35:20,00:35:20,TR (Turkey)
Onur ps5,2023-08-07 17:38:15,00:01:27,Autoplayed: user action: None; ,Keşmekeş (2. Kısa Video): Keşmekeş,HOOK,Sony PS5,00:01:27,00:01:27,TR (Turkey)
Onur ps5,2023-08-05 00:22:50,00:09:04,,Terzi: Season 2: 5. Bölüm (Bölüm 5),,Apple iPad Air 5th Gen Wi-Fi iPad,00:16:20,Not latest view,TR (Turkey)
Onur ps5,2023-08-04 23:59:37,00:22:52,,Terzi: Season 2: 4. Bölüm (Bölüm 4),,Apple iPad Air 5th Gen Wi-Fi iPad,00:28:23,00:28:23,TR (Turkey)
Onur ps5,2023-08-03 17:43:55,00:23:03,Autoplayed: user action: User_Interaction; ,Terzi: Season 2: 3. Bölüm (Bölüm 3),,Sony PS5,00:43:17,00:43:17,TR (Turkey)
Onur ps5,2023-08-03 17:39:11,00:00:05,Autoplayed: user action: None; ,1. Kısım (Kısa Video): Captain Fall,HOOK,Sony PS5,00:00:05,00:00:05,TR (Turkey)
Onur ps5,2023-07-30 19:49:21,00:20:15,Autoplayed: user action: User_Interaction; ,Terzi: Season 2: 3. Bölüm (Bölüm 3),,Sony PS5,00:20:20,Not latest view,TR (Turkey)
Onur ps5,2023-07-30 19:07:17,00:36:15,,Terzi: Season 2: 2. Bölüm (Bölüm 2),,Sony PS5,00:36:21,00:36:21,TR (Turkey)
Onur ps5,2023-07-30 18:38:15,00:28:33,Autoplayed: user action: User_Interaction; ,Terzi: Season 2: 1. Bölüm (Bölüm 1),,Sony PS5,00:28:34,00:28:34,TR (Turkey)
Onur ps5,2023-07-30 18:37:58,00:00:07,Autoplayed: user action: None; ,1. Kısım (Kısa Video): Captain Fall,HOOK,Sony PS5,00:00:07,Not latest view,TR (Turkey)
Onur ps5,2023-07-28 20:16:39,00:21:23,,İlk Tanıştığımız Gece,,Sony PS5,00:21:24,00:21:24,TR (Turkey)
Onur ps5,2023-07-28 20:16:29,00:00:07,Autoplayed: user action: None; ,İlk Tanıştığımız Gece (Fragman),TRAILER,Sony PS5,00:00:08,00:00:08,TR (Turkey)
Onur ps5,2023-07-23 00:05:27,00:00:04,Autoplayed: user action: None; ,Better Call Saul: 2. Sezon: Amarillo (Bölüm 3),,Sony PS5,00:00:04,00:00:04,TR (Turkey)
Onur ps5,2023-07-22 23:18:46,00:46:41,,Better Call Saul: 2. Sezon: Turta (Bölüm 2),,Sony PS5,00:46:43,00:46:43,TR (Turkey)
Onur ps5,2023-07-22 22:32:27,00:46:18,,Better Call Saul: 2. Sezon: Şalter (Bölüm 1),,Sony PS5,00:46:18,00:46:18,TR (Turkey)
Onur ps5,2023-07-22 22:01:20,00:30:35,,Better Call Saul: 1. Sezon: Marco (Bölüm 10),,Sony PS5,00:48:38,00:48:38,TR (Turkey)
Onur ps5,2023-07-22 22:00:03,00:00:09,Autoplayed: user action: None; ,1. Sezon (Kısa Video): Sahte Aşk,HOOK,Sony PS5,00:00:09,00:00:09,TR (Turkey)
Onur ps5,2023-07-22 14:41:58,00:00:12,,Senden Önce,,Sony PS5,00:07:37,00:07:37,TR (Turkey)
Onur ps5,2023-07-22 14:41:46,00:00:08,Autoplayed: user action: None; ,What's Your Number?_hook_primary_16x9,HOOK,Sony PS5,00:00:08,00:00:08,TR (Turkey)
Onur ps5,2023-07-22 14:41:22,00:00:15,Autoplayed: user action: None; ,1. Sezon (Kısa Video): Sahte Aşk,HOOK,Sony PS5,00:00:15,Not latest view,TR (Turkey)
Onur ps5,2023-07-22 00:32:26,00:04:24,,Sahte Aşk: 1. Sezon: Deepfake Teknolojisi (Bölüm 1),,Apple iPhone 14 Pro Max iPhone,00:18:09,00:18:09,TR (Turkey)
Onur ps5,2023-07-21 17:36:11,00:13:31,,Sahte Aşk: 1. Sezon: Deepfake Teknolojisi (Bölüm 1),,Sony PS5,00:13:44,Not latest view,TR (Turkey)
Onur ps5,2023-07-21 17:35:56,00:00:13,Autoplayed: user action: None; ,1. Sezon (Kısa Video): Sahte Aşk,HOOK,Sony PS5,00:00:13,Not latest view,TR (Turkey)
Onur ps5,2023-07-21 17:35:44,00:00:02,Autoplayed: user action: None; ,Mulligan: 1. Kısım: Büyük Mulligan (Bölüm 1),,Sony PS5,00:26:40,00:26:40,TR (Turkey)
Onur ps5,2023-07-21 17:27:46,00:07:37,,Too Hot to Handle: 5. Sezon: Gemideki Bela (Bölüm 1),,Sony PS5,00:48:25,00:48:25,TR (Turkey)
Onur ps5,2023-07-19 19:15:26,00:01:36,,Taksi Şöförü,,Sony PS5,00:01:36,Not latest view,TR (Turkey)
Onur ps5,2023-07-19 19:15:09,00:00:15,Autoplayed: user action: None; ,Taxi Driver_hook_04_16x9,HOOK,Sony PS5,00:00:15,00:00:15,TR (Turkey)
Onur ps5,2023-07-19 19:14:55,00:00:06,Autoplayed: user action: None; ,1. Sezon (Kısa Video): Mükemmel Bir Eş Arıyorum,HOOK,Sony PS5,00:00:06,00:00:06,TR (Turkey)
Onur ps5,2023-07-19 18:17:08,00:12:40,Autoplayed: user action: User_Interaction; ,Too Hot to Handle: 5. Sezon: Gemideki Bela (Bölüm 1),,Sony PS5,00:40:51,Not latest view,TR (Turkey)
Onur ps5,2023-07-19 18:16:59,00:00:02,Autoplayed: user action: None; ,Too Hot To Handle: Latin Amerika: 1. Sezon: Seks Fırsatı (Bölüm 1),,Sony PS5,00:01:44,00:01:44,TR (Turkey)
Onur ps5,2023-07-16 09:50:20,00:28:07,,Too Hot to Handle: 5. Sezon: Gemideki Bela (Bölüm 1),,Sony PS5,00:28:12,Not latest view,TR (Turkey)
Onur ps5,2023-07-16 09:50:11,00:00:06,Autoplayed: user action: None; ,5. Sezon (Kısa Video): Too Hot to Handle,HOOK,Sony PS5,00:00:06,00:00:06,TR (Turkey)
Onur ps5,2023-07-12 17:09:21,00:22:16,,"Too Hot to Handle: Almanya: 1. Sezon: Elveda, Lana! (Bölüm 10)",,Sony PS5,00:39:12,00:39:12,TR (Turkey)
Onur ps5,2023-07-12 16:31:01,00:35:15,Autoplayed: user action: User_Interaction; ,Too Hot to Handle: Almanya: 1. Sezon: Yatak Oyunları ve Mükemmel Randevular (Bölüm 9),,Sony PS5,00:39:35,00:39:35,TR (Turkey)
Onur ps5,2023-07-12 16:30:38,00:00:08,Autoplayed: user action: None; ,Bay Araba ve Tapınak Şövalyeleri (Kısa Video): Bay Araba ve Tapınak Şövalyeleri,HOOK,Sony PS5,00:00:08,00:00:08,TR (Turkey)
Onur ps5,2023-07-10 11:41:37,00:00:05,Autoplayed: user action: None; ,This Is the End_hook_primary_16x9,HOOK,Sony PS5,00:00:05,00:00:05,TR (Turkey)
Onur ps5,2023-07-10 11:36:46,00:04:24,,Kayıp Korsan Krallığı: Mini Dizi: Korsan Cumhuriyeti (Bölüm 2),,Sony PS5,00:05:54,00:05:54,TR (Turkey)
Onur ps5,2023-07-10 10:55:17,00:41:21,,Kayıp Korsan Krallığı: Mini Dizi: Siyah Bayrağı Asmak (Bölüm 1),,Sony PS5,00:42:00,00:42:00,TR (Turkey)
Onur ps5,2023-07-10 10:55:07,00:00:08,Autoplayed: user action: None; ,Mini Dizi (2. Kısa Video): Kayıp Korsan Krallığı,HOOK,Sony PS5,00:00:08,00:00:08,TR (Turkey)
Onur ps5,2023-07-10 10:54:54,00:00:06,Autoplayed: user action: None; ,Eldorado: Everything the Nazis Hate (Kısa Video): Eldorado: Everything the Nazis Hate,HOOK,Sony PS5,00:00:06,00:00:06,TR (Turkey)
Onur ps5,2023-07-10 10:53:35,00:00:07,Autoplayed: user action: None; ,Layers of Istambul: Season 1_hook_primary_16x9,HOOK,Sony PS5,00:00:07,00:00:07,TR (Turkey)
Onur ps5,2023-07-10 10:49:51,00:02:56,,Gezegenimiz: Gezegenimiz II: 1. Bölüm: Hareket Hâlindeki Dünya (Bölüm 1),,Sony PS5,00:04:53,00:04:53,TR (Turkey)
Onur ps5,2023-07-10 10:49:31,00:00:12,Autoplayed: user action: None; ,Our Planet: Season 1 (CEE Asset 2),PROMOTIONAL,Sony PS5,00:00:12,00:00:12,TR (Turkey)
Onur ps5,2023-07-10 10:49:15,00:00:05,,Bilinmeyenler: Kayıp Piramit,,Sony PS5,00:00:05,00:00:05,TR (Turkey)
Onur ps5,2023-07-10 10:48:29,00:00:07,Autoplayed: user action: User_Interaction; ,The Pentaverate: 1. Sezon: 1. Bölüm (Bölüm 1),,Sony PS5,00:05:24,00:05:24,TR (Turkey)
Onur ps5,2023-07-10 10:48:09,00:00:06,Autoplayed: user action: None; ,Too Hot to Handle: Season 1 - Upper Bound Clip 8,HOOK,Sony PS5,00:00:06,00:00:06,TR (Turkey)
Onur ps5,2023-07-10 10:47:32,00:00:04,Autoplayed: user action: None; ,Cem Yılmaz: Clip 4,HOOK,Sony PS5,00:00:04,00:00:04,TR (Turkey)
Onur ps5,2023-07-10 09:47:16,00:59:28,Autoplayed: user action: User_Interaction; ,"Eller Yukarı, Damat!",,Sony PS5,01:27:16,01:27:16,TR (Turkey)
Onur ps5,2023-07-10 00:29:34,00:01:19,,Upgrade_hook_primary_16x9,HOOK,Sony PS5,00:01:19,00:01:19,TR (Turkey)
Onur ps5,2023-07-10 00:28:13,00:01:18,,Hazine_hook_primary_16x9,HOOK,Sony PS5,00:01:18,00:01:18,TR (Turkey)
Onur ps5,2023-07-10 00:27:44,00:00:27,Autoplayed: user action: None; ,This Is the End_hook_primary_16x9,HOOK,Sony PS5,00:00:27,Not latest view,TR (Turkey)
Onur ps5,2023-07-09 22:34:41,01:44:00,Autoplayed: user action: User_Interaction; ,"Eller Yukarı, Damat!",,Sony PS5,01:28:06,Not latest view,TR (Turkey)
Onur ps5,2023-07-09 22:30:36,00:03:55,,"Eller Yukarı, Damat!",,Sony PS5,00:03:55,Not latest view,TR (Turkey)
Onur ps5,2023-07-09 21:50:23,00:39:56,Autoplayed: user action: User_Interaction; ,Zamanda Tutsak,,Sony PS5,00:39:56,00:39:56,TR (Turkey)
Onur ps5,2023-07-09 21:49:41,00:00:22,Autoplayed: user action: None; ,"Fragman: Eller Yukarı, Damat!",TRAILER,Sony PS5,00:00:22,00:00:22,TR (Turkey)
Onur ps5,2023-07-08 13:43:11,00:02:42,Autoplayed: user action: None; ,Too Hot to Handle: Almanya: 1. Sezon: Yatak Oyunları ve Mükemmel Randevular (Bölüm 9),,Sony PS5,00:02:46,Not latest view,TR (Turkey)
Onur ps5,2023-07-08 11:53:20,00:39:33,Autoplayed: user action: User_Interaction; ,Too Hot to Handle: Almanya: 1. Sezon: Toksik Erkeklik (Bölüm 8),,Sony PS5,00:43:50,00:43:50,TR (Turkey)
Onur ps5,2023-07-08 11:29:08,00:24:09,,Too Hot to Handle: Almanya: 1. Sezon: Seksi Duş Zamanı (Bölüm 7),,Sony PS5,00:43:02,00:43:02,TR (Turkey)
Onur ps5,2023-07-08 10:19:25,00:13:44,,Too Hot to Handle: Almanya: 1. Sezon: Seksi Duş Zamanı (Bölüm 7),,Sony PS5,00:18:55,Not latest view,TR (Turkey)
Onur ps5,2023-07-08 10:14:14,00:05:08,,Too Hot to Handle: Almanya: 1. Sezon: Seksi Duş Zamanı (Bölüm 7),,Sony PS5,00:05:12,Not latest view,TR (Turkey)
Onur ps5,2023-07-08 09:10:56,00:45:57,Autoplayed: user action: User_Interaction; ,Too Hot to Handle: Almanya: 1. Sezon: Sorunlu Üçlü (Bölüm 6),,Sony PS5,00:45:59,00:45:59,TR (Turkey)
Onur ps5,2023-07-08 01:09:51,00:30:13,,Too Hot to Handle: Almanya: 1. Sezon: Yonini Onurlandır (Bölüm 5),,Apple iPad Air 5th Gen Wi-Fi iPad,00:44:42,00:44:42,TR (Turkey)
Onur ps5,2023-07-08 00:49:23,00:14:32,Autoplayed: user action: User_Interaction; ,Too Hot to Handle: Almanya: 1. Sezon: Yonini Onurlandır (Bölüm 5),,Sony PS5,00:14:09,Not latest view,TR (Turkey)
Onur ps5,2023-07-08 00:23:22,00:25:49,,Too Hot to Handle: Almanya: 1. Sezon: Tetiklenme Alarmı! (Bölüm 4),,Sony PS5,00:48:37,00:48:37,TR (Turkey)
Onur ps5,2023-07-07 23:57:29,00:24:56,Autoplayed: user action: User_Interaction; ,Too Hot to Handle: Almanya: 1. Sezon: Tetiklenme Alarmı! (Bölüm 4),,Sony PS5,00:23:19,Not latest view,TR (Turkey)
Onur ps5,2023-07-07 23:04:04,00:52:55,Autoplayed: user action: User_Interaction; ,"Too Hot to Handle: Almanya: 1. Sezon: Daha Çok Öpüşme, Daha Az Para (Bölüm 3)",,Sony PS5,00:50:55,00:50:55,TR (Turkey)
Onur ps5,2023-07-07 22:19:18,00:43:24,Autoplayed: user action: User_Interaction; ,Too Hot to Handle: Almanya: 1. Sezon: Yaladığım Benimdir (Bölüm 2),,Sony PS5,00:43:29,00:43:29,TR (Turkey)
Onur ps5,2023-07-07 22:01:07,00:18:09,Autoplayed: user action: User_Interaction; ,Too Hot to Handle: Almanya: 1. Sezon: Tropik Seksölçer (Bölüm 1),,Sony PS5,00:49:19,00:49:19,TR (Turkey)
Onur ps5,2023-07-07 21:59:21,00:01:42,Autoplayed: user action: User_Interaction; ,Too Hot To Handle: Latin Amerika: 1. Sezon: Seks Fırsatı (Bölüm 1),,Sony PS5,00:01:42,Not latest view,TR (Turkey)
Onur ps5,2023-07-07 21:58:43,00:00:32,Autoplayed: user action: User_Interaction; ,Too Hot to Handle: Brezilya: 1. Sezon: Kurallardan Bihaber (Bölüm 1),,Sony PS5,00:00:32,00:00:32,TR (Turkey)
Onur ps5,2023-07-07 21:58:01,00:00:04,Autoplayed: user action: None; ,Too Hot to Handle: 4. Sezon: Seks Yapmayanlar Kulübü (Bölüm 1),,Sony PS5,00:00:05,00:00:05,TR (Turkey)
Onur ps5,2023-07-07 21:26:33,00:31:14,Autoplayed: user action: User_Interaction; ,Too Hot to Handle: Almanya: 1. Sezon: Tropik Seksölçer (Bölüm 1),,Sony PS5,00:31:15,Not latest view,TR (Turkey)
Onur ps5,2023-07-07 21:25:47,00:00:04,Autoplayed: user action: None; ,Para Kokusu (Kısa Video): Para Kokusu,HOOK,Sony PS5,00:00:04,00:00:04,TR (Turkey)
Onur ps5,2023-07-07 21:25:29,00:00:12,Autoplayed: user action: None; ,1. Sezon (2. Tanıtım Fragmanı): Sahte Profil,TEASER_TRAILER,Sony PS5,00:00:12,00:00:12,TR (Turkey)
Onur ps5,2023-07-07 20:48:17,00:30:49,,Şaka Peşinde,,Sony PS5,00:30:50,00:30:50,TR (Turkey)
Onur ps5,2023-07-07 20:48:11,00:00:04,Autoplayed: user action: None; ,Fragman: Şaka Peşinde,TRAILER,Sony PS5,00:00:04,00:00:04,TR (Turkey)
Onur ps5,2023-07-07 20:41:22,00:05:26,,The Pentaverate: 1. Sezon: 1. Bölüm (Bölüm 1),,Sony PS5,00:05:19,Not latest view,TR (Turkey)
Onur ps5,2023-07-07 20:41:02,00:00:18,Autoplayed: user action: None; ,1. Sezon (Kısa Video): The Pentaverate,HOOK,Sony PS5,00:00:18,00:00:18,TR (Turkey)
Onur ps5,2023-07-07 20:38:36,00:00:49,,Kutsal Damacana 4,,Sony PS5,00:57:05,00:57:05,TR (Turkey)
Onur ps5,2023-07-07 20:23:36,00:00:27,Autoplayed: user action: None; ,This Is the End_hook_primary_16x9,HOOK,Apple iPhone 14 Pro Max iPhone,00:00:27,Not latest view,TR (Turkey)
Onur ps5,2023-07-07 16:13:36,00:56:51,,Yalanın İcadı,,Sony PS5,00:59:28,00:59:28,TR (Turkey)
Onur ps5,2023-07-07 15:57:25,00:01:12,Autoplayed: user action: None; ,2. Sezon (3. Tanıtım Fragmanı): The Witcher,TEASER_TRAILER,Sony PS5,00:01:12,00:01:12,TR (Turkey)
Onur ps5,2023-07-07 15:57:02,00:00:20,Autoplayed: user action: None; ,1. Sezon (Kısa Video): The Pentaverate,HOOK,Sony PS5,00:00:27,Not latest view,TR (Turkey)
Onur ps5,2023-07-07 15:56:50,00:00:11,Autoplayed: user action: None; ,1. Sezon (Kısa Video): The Pentaverate,HOOK,Sony PS5,00:00:11,Not latest view,TR (Turkey)
Onur ps5,2023-07-07 15:54:57,00:01:19,Autoplayed: user action: None; ,"Eller Yukarı, Damat! (Kısa Video): Eller Yukarı, Damat!",HOOK,Sony PS5,00:01:19,00:01:19,TR (Turkey)
